,query,id,text,author_id,conversation_id,entities,geo,lang,referenced_tweets
0,Operador Nacional do Sistema Eletrico,1539632585063686144,"As bandeiras serão acionadas caso ocorra uma crise hídrica ou outro problema que aumente o custo de produção.

O reajuste não deve afetar as contas nos próximos meses, pois, segundo o Operador Nacional do Sistema Elétrico (ONS), a bandeira verde será mantida até o fim do ano.

👇🏾",1348727960354885634,1539632583310561280,,,pt,[<ReferencedTweet id=1539632583310561280 type=replied_to]
1,Operador Nacional do Sistema Eletrico,1539552952502960128,"1/2) Reservatórios brasileiros estão próximos de capacidade máxima

01/04/2022

Com manutenção no volume de chuvas na maior parte do país, os reservatórios brasileiros estão próximos da capacidade máxima, segundo boletim divulgado pelo Operador Nacional do Sistema Elétrico (ONS). https://t.co/tjBG0sHc3P",800388704346832897,1539552952502960128,"{'annotations': [{'start': 236, 'end': 272, 'probability': 0.8927, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 281, 'end': 304, 'url': 'https://t.co/tjBG0sHc3P', 'expanded_url': 'https://twitter.com/DiodoroCirino/status/1539552952502960128/photo/1', 'display_url': 'pic.twitter.com/tjBG0sHc3P', 'media_key': '3_1539552187436699655'}, {'start': 281, 'end': 304, 'url': 'https://t.co/tjBG0sHc3P', 'expanded_url': 'https://twitter.com/DiodoroCirino/status/1539552952502960128/photo/1', 'display_url': 'pic.twitter.com/tjBG0sHc3P', 'media_key': '3_1539552302931091456'}]}",,pt,
2,Operador Nacional do Sistema Eletrico,1536959138277822465,"@eikebatista descarbonização do setor, com a adoção de tecnologias que zerem as emissões líquidas de CO2. Segundo dados mais recentes do ONS (Operador Nacional do Sistema Elétrico), as usinas a carvão mineral representam só 1,7% de toda a capacidade instalada do setor elétrico 
2",167999129,1536959138277822465,"{'mentions': [{'start': 0, 'end': 12, 'username': 'eikebatista', 'id': '119064111'}]}",,pt,
3,Operador Nacional do Sistema Eletrico,1536426264474566656,"@eikebatista FSP diz q o  Operador Nacional do Sistema Elétrico (ONS) passou a esperar uma queda de 0,8% da carga nacional de energia elétrica em junho na comparação anual, segundo boletim divulgado nesta sexta-feira (10). Na semana passada, a expectativa era o crescimento de",167999129,1536426264474566656,"{'annotations': [{'start': 26, 'end': 62, 'probability': 0.7309, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'eikebatista', 'id': '119064111'}]}",,pt,
4,Operador Nacional do Sistema Eletrico,1536391963007717376,@_revasconcelos @LibanioGil @alinadpc1 O ONS (Operador Nacional do Sistema Elétrico) continua decidindo pela geração de energia.,1492100851804028929,1535307226302357506,"{'mentions': [{'start': 0, 'end': 15, 'username': '_revasconcelos', 'id': '188515152'}, {'start': 16, 'end': 27, 'username': 'LibanioGil', 'id': '1435646008990605312'}, {'start': 28, 'end': 38, 'username': 'alinadpc1', 'id': '1089933215064838145'}]}",,pt,[<ReferencedTweet id=1536391817205366787 type=replied_to]
5,Operador Nacional do Sistema Eletrico,1532701898989572096,"Nesta quinta-feira (2), a diretora-presidente da ANA, Veronica Sánchez da Cruz Rios, e os diretores Ana Carolina Argolo e Mauricio Abjaodi, receberam o diretor geral do Operador Nacional do Sistema Elétrico (ONS), Luiz Carlos Ciocchi. Confira como foi: 
https://t.co/3RUmXFCao3",184921116,1532701898989572096,"{'annotations': [{'start': 49, 'end': 51, 'probability': 0.9217, 'type': 'Person', 'normalized_text': 'ANA'}, {'start': 54, 'end': 69, 'probability': 0.9621, 'type': 'Person', 'normalized_text': 'Veronica Sánchez'}, {'start': 74, 'end': 82, 'probability': 0.911, 'type': 'Person', 'normalized_text': 'Cruz Rios'}, {'start': 100, 'end': 118, 'probability': 0.9474, 'type': 'Person', 'normalized_text': 'Ana Carolina Argolo'}, {'start': 122, 'end': 137, 'probability': 0.9884, 'type': 'Person', 'normalized_text': 'Mauricio Abjaodi'}, {'start': 169, 'end': 205, 'probability': 0.8484, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}, {'start': 214, 'end': 232, 'probability': 0.9031, 'type': 'Person', 'normalized_text': 'Luiz Carlos Ciocchi'}], 'urls': [{'start': 254, 'end': 277, 'url': 'https://t.co/3RUmXFCao3', 'expanded_url': 'https://www.gov.br/ana/pt-br/assuntos/noticias-e-eventos/noticias/diretores-da-ana-se-reunem-com-representantes-do-ons-para-debater-assuntos-de-interesse-em-comum-dos-orgaos', 'display_url': 'gov.br/ana/pt-br/assu…'}]}",,pt,
6,Operador Nacional do Sistema Eletrico,1530288430348910599,"Agência e Operador Nacional do Sistema Elétrico dizem que bandeira verde, sem cobrança extra, seguirá em vigor até dezembro https://t.co/BhYUNGaz9H #g1",8802752,1530288430348910599,"{'hashtags': [{'start': 148, 'end': 151, 'tag': 'g1'}], 'annotations': [{'start': 10, 'end': 46, 'probability': 0.5181, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/BhYUNGaz9H', 'expanded_url': 'http://glo.bo/3afEogP', 'display_url': 'glo.bo/3afEogP'}]}",,pt,
7,Operador Nacional do Sistema Eletrico,1530211851576934400,ONS Operador Nacional do Sistema Elétrico https://t.co/IYNdpZr879 https://t.co/orxWVeBSQT,1351231310581399558,1530211851576934400,"{'annotations': [{'start': 25, 'end': 40, 'probability': 0.7619, 'type': 'Organization', 'normalized_text': 'Sistema Elétrico'}], 'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/IYNdpZr879', 'expanded_url': 'https://maps.google.com/?q=-22.91063834281363,-43.20084256035884', 'display_url': 'maps.google.com/?q=-22.9106383…'}, {'start': 66, 'end': 89, 'url': 'https://t.co/orxWVeBSQT', 'expanded_url': 'https://twitter.com/everylotrio/status/1530211851576934400/photo/1', 'display_url': 'pic.twitter.com/orxWVeBSQT', 'media_key': '3_1530211848334737410'}]}",,pt,
8,Operador Nacional do Sistema Eletrico,1529473592316071936,"🗃️ Necessidade de aprovação pelo Senado dos nomes para a diretoria do Operador Nacional do Sistema Elétrico (ONS), responsável por garantir o funcionamento do sistema elétrico nacional",15309795,1529473578772701184,"{'annotations': [{'start': 34, 'end': 39, 'probability': 0.8281, 'type': 'Organization', 'normalized_text': 'Senado'}, {'start': 71, 'end': 107, 'probability': 0.6602, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}]}",,pt,[<ReferencedTweet id=1529473590340595713 type=replied_to]
9,Operador Nacional do Sistema Eletrico,1527622746636787712,Por que OperadoR Nacional do sistema elétrico? Por que não operadorA? Eu fico indignado com o machismo nesse país. Pode ter mulher operando o sistema elétrico sim!,927321582250405888,1527622746636787712,,,pt,
10,Operador Nacional do Sistema Eletrico,1527286028175872001,Claorty não só em linha com a Cybersecurity and Infrastructure Security Agency do governo americano mas com o ONS - Operador Nacional do Sistema Elétrico no Brasil também. https://t.co/LSGQyeEkuN,2380420542,1527286028175872001,"{'annotations': [{'start': 157, 'end': 162, 'probability': 0.9898, 'type': 'Place', 'normalized_text': 'Brasil'}], 'urls': [{'start': 172, 'end': 195, 'url': 'https://t.co/LSGQyeEkuN', 'expanded_url': 'https://lnkd.in/d_39k4W5', 'display_url': 'lnkd.in/d_39k4W5'}]}",,pt,
11,Operador Nacional do Sistema Eletrico,1526298363779497984,"A ANEEL promove nesta seta-feira (20/5), às 14h, o workshop de esclarecimentos sobre o Leilão de Transmissão nº 01/2022-ANEEL: https://t.co/YLLjhyEp0W

O workshop contará o Ministério de @Minas_Energia , da @EPE_Brasil, do Operador Nacional do Sistema Elétrico e da ANEEL. https://t.co/ruFMHiLgeL",800686469870338048,1526298363779497984,"{'annotations': [{'start': 2, 'end': 6, 'probability': 0.7423, 'type': 'Organization', 'normalized_text': 'ANEEL'}], 'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/YLLjhyEp0W', 'expanded_url': 'https://www.gov.br/aneel/pt-br/assuntos/noticias/2022/workshop-de-esclarecimentos-sobre-o-leilao-de-transmissao-no-01-2022-aneel', 'display_url': 'gov.br/aneel/pt-br/as…'}, {'start': 273, 'end': 296, 'url': 'https://t.co/ruFMHiLgeL', 'expanded_url': 'https://twitter.com/ANEEL_govbr/status/1526298363779497984/photo/1', 'display_url': 'pic.twitter.com/ruFMHiLgeL', 'media_key': '3_1526297441712193536'}], 'mentions': [{'start': 187, 'end': 201, 'username': 'Minas_Energia', 'id': '188841819'}, {'start': 207, 'end': 218, 'username': 'EPE_Brasil', 'id': '47401189'}]}",,pt,
12,Operador Nacional do Sistema Eletrico,1526285265878261760,O Operador Nacional do Sistema Elétrico atualizou os dados de produção das usinas eólicas e fotovoltaicas no Sistema Interligado Nacional.,136826205,1526285265878261760,"{'annotations': [{'start': 2, 'end': 38, 'probability': 0.3364, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}]}",,pt,
13,Operador Nacional do Sistema Eletrico,1526239736712536066,"5. o ex-diretor do operador nacional do sistema elétrico (ONS), luiz eduardo barata concorda que o documento da EPE é um importante alerta:

""não podemos fazer usinas em locais onde não há nem gás, nem carga. foi um enorme equívoco, que só contribui para o aumento de custos"".",2768883504,1526239716030533633,"{'annotations': [{'start': 64, 'end': 75, 'probability': 0.93, 'type': 'Person', 'normalized_text': 'luiz eduardo'}]}",,pt,[<ReferencedTweet id=1526239730278481920 type=replied_to]
14,Operador Nacional do Sistema Eletrico,1525899670404403200,"s

Segundo a atualização semanal do boletim mensal de operação do Operador Nacional do Sistema Elétrico (ONS).
O Sudeste/Centro-Oeste deve registrar demanda de alta de 0,1% na comparação anual, enquanto o Nordeste deve ter um crescimento de 2,6%.",3331681937,1525899668319764480,"{'annotations': [{'start': 66, 'end': 102, 'probability': 0.8659, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}, {'start': 205, 'end': 212, 'probability': 0.6308, 'type': 'Place', 'normalized_text': 'Nordeste'}]}",,pt,[<ReferencedTweet id=1525899668319764480 type=replied_to]
15,Operador Nacional do Sistema Eletrico,1524819212069478401,"Estamos ao vivo no youtube falando sobre a ""Transição Energética e a Transformação Digital Sob o Ponto de Vista do ONS - Operador Nacional do Sistema Elétrico.""

Clique e assista!
https://t.co/LCQeCrjfi5",1497211434232594452,1524819212069478401,"{'annotations': [{'start': 19, 'end': 25, 'probability': 0.8084, 'type': 'Product', 'normalized_text': 'youtube'}], 'urls': [{'start': 180, 'end': 203, 'url': 'https://t.co/LCQeCrjfi5', 'expanded_url': 'https://lnkd.in/dZRgZXUF', 'display_url': 'lnkd.in/dZRgZXUF'}]}",,pt,
16,Operador Nacional do Sistema Eletrico,1524752917441486850,"Hoje tem webinar gratuito em parceria com o Operador Nacional do Sistema Elétrico para conversar sobre Transição Energética e a Transformação Digital sobre o ponto de vista do Operador. 
Cadastre-se e participe https://t.co/BMIxYp7G8W",1497211434232594452,1524752917441486850,"{'annotations': [{'start': 44, 'end': 80, 'probability': 0.4669, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 211, 'end': 234, 'url': 'https://t.co/BMIxYp7G8W', 'expanded_url': 'https://bit.ly/paposdeenergiamaio', 'display_url': 'bit.ly/paposdeenergia…'}]}",,pt,
17,Operador Nacional do Sistema Eletrico,1524065373749972993,"Compareceram os presidentes e diretores da Agência Nacional das Águas (ANA), do Operador Nacional do Sistema Elétrico (ONS), da Agência Nacional de Energia Elétrica (Aneel), e da Usina Hidrelétrica de Furnas, além de representantes do Ministério de Minas e Energia",762786918086180864,1524065264400314368,"{'annotations': [{'start': 43, 'end': 68, 'probability': 0.9874, 'type': 'Organization', 'normalized_text': 'Agência Nacional das Águas'}, {'start': 71, 'end': 73, 'probability': 0.4061, 'type': 'Organization', 'normalized_text': 'ANA'}, {'start': 80, 'end': 116, 'probability': 0.5225, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}, {'start': 128, 'end': 163, 'probability': 0.925, 'type': 'Organization', 'normalized_text': 'Agência Nacional de Energia Elétrica'}, {'start': 235, 'end': 253, 'probability': 0.9673, 'type': 'Organization', 'normalized_text': 'Ministério de Minas'}]}",,pt,[<ReferencedTweet id=1524065264400314368 type=replied_to]
18,Operador Nacional do Sistema Eletrico,1522748046483890176,"O subsistema Sul deve registrar um volume de chuvas recorde em maio, segundo um levantamento feito pela CNN, com base em dados do Operador Nacional do Sistema Elétrico (ONS), divulgados nesta sexta-feira (6)
https://t.co/UBt5FdHudk",1181629051309572096,1522748046483890176,"{'annotations': [{'start': 2, 'end': 15, 'probability': 0.582, 'type': 'Organization', 'normalized_text': 'subsistema Sul'}, {'start': 104, 'end': 106, 'probability': 0.6012, 'type': 'Organization', 'normalized_text': 'CNN'}, {'start': 130, 'end': 166, 'probability': 0.5211, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/UBt5FdHudk', 'expanded_url': 'https://cnnbr.app/short/c2704257906/', 'display_url': 'cnnbr.app/short/c2704257…'}]}",,pt,
19,Operador Nacional do Sistema Eletrico,1522324603334504448,"🚀 ACATE LinkLab/ONS (ÚLTIMA CHAMADA)Sua oportunidade de fazer negócio com o operador nacional do sistema elétrico
https://t.co/I9EqM2DWq6 
@acatesc",27915037,1522324598880145408,"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/I9EqM2DWq6', 'expanded_url': 'http://bit.ly/3kHZlTR', 'display_url': 'bit.ly/3kHZlTR'}], 'mentions': [{'start': 139, 'end': 147, 'username': 'acatesc', 'id': '72559332'}]}",,pt,[<ReferencedTweet id=1522324601082101760 type=replied_to]
20,Operador Nacional do Sistema Eletrico,1521484729266147328,"Confira o texto completo de Elusa Brasil, assistente da Diretoria Geral do Operador Nacional do Sistema Elétrico #ONS na revista Comunicação &amp; Memória
Acesse https://t.co/yPKoOgt5Mh https://t.co/p3AIJeqI4v",1497211434232594452,1521484722068672513,"{'hashtags': [{'start': 113, 'end': 117, 'tag': 'ONS'}], 'annotations': [{'start': 28, 'end': 39, 'probability': 0.6053, 'type': 'Place', 'normalized_text': 'Elusa Brasil'}], 'urls': [{'start': 162, 'end': 185, 'url': 'https://t.co/yPKoOgt5Mh', 'expanded_url': 'https://bit.ly/legadocompartilhado', 'display_url': 'bit.ly/legadocomparti…'}, {'start': 186, 'end': 209, 'url': 'https://t.co/p3AIJeqI4v', 'expanded_url': 'https://twitter.com/amemoriaoficial/status/1521484729266147328/photo/1', 'display_url': 'pic.twitter.com/p3AIJeqI4v', 'media_key': '3_1521484564866162688'}]}",,pt,[<ReferencedTweet id=1521484722068672513 type=replied_to]
21,Operador Nacional do Sistema Eletrico,1520162627355353090,"Agência e Operador Nacional do Sistema Elétrico dizem que bandeiras amarela e vermelha, com custo adicional, não voltam em 2022 https://t.co/ba5Z7CsKy3 #g1",8802752,1520162627355353090,"{'hashtags': [{'start': 152, 'end': 155, 'tag': 'g1'}], 'annotations': [{'start': 10, 'end': 46, 'probability': 0.5156, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 128, 'end': 151, 'url': 'https://t.co/ba5Z7CsKy3', 'expanded_url': 'http://glo.bo/37RTs3u', 'display_url': 'glo.bo/37RTs3u', 'images': [{'url': 'https://pbs.twimg.com/news_img/1537125522127347713/uORx6Ize?format=jpg&name=orig', 'width': 1200, 'height': 675}, {'url': 'https://pbs.twimg.com/news_img/1537125522127347713/uORx6Ize?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Conta de luz continua sem cobrança extra em maio, diz Aneel', 'description': 'Agência e Operador Nacional do Sistema Elétrico dizem que bandeiras amarela e vermelha, com custo adicional, não voltam em 2022. Bandeira verde está em vigor desde 16 de abril.', 'unwound_url': 'https://g1.globo.com/economia/noticia/2022/04/29/conta-de-luz-continua-sem-cobranca-extra-em-maio-diz-aneel.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1'}]}",,pt,
22,Operador Nacional do Sistema Eletrico,1520120734860775424,"O Operador Nacional do Sistema Elétrico (ONS) informou que a carga de energia aumentou 1,9% em março em relação ao mesmo período do ano passado https://t.co/nkUkhbn8f1",1181629051309572096,1520120734860775424,"{'annotations': [{'start': 2, 'end': 38, 'probability': 0.6444, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/nkUkhbn8f1', 'expanded_url': 'https://www.cnnbrasil.com.br/business/carga-de-energia-cresce-19-em-marco-aponta-ons/?utm_source=social&utm_medium=twitter-feed&utm_campaign=business-cnn-business&utm_content=link', 'display_url': 'cnnbrasil.com.br/business/carga…'}]}",,pt,
23,Operador Nacional do Sistema Eletrico,1519786201535950852,"Com ajuda de Ciro Nogueira no Operador Nacional do Sistema Elétrico

https://t.co/Q0Hnhb74dY",69179411,1519786201535950852,"{'annotations': [{'start': 13, 'end': 25, 'probability': 0.9891, 'type': 'Person', 'normalized_text': 'Ciro Nogueira'}, {'start': 51, 'end': 66, 'probability': 0.3568, 'type': 'Organization', 'normalized_text': 'Sistema Elétrico'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/Q0Hnhb74dY', 'expanded_url': 'https://obastidor.com.br/economia/a-influencia-de-rodrigo-maia-no-governo-bolsonaro-3270', 'display_url': 'obastidor.com.br/economia/a-inf…'}]}",,pt,
24,Operador Nacional do Sistema Eletrico,1519759244907761664,"Situação dos reservatórios das principais hidrelétricas que abastecem o Rio, em volume útil 💡
Paraibuna: 47,24%
Santa Branca: 33,87%
Jaguari: 62,74%
Funil: 67,43%
-----
Média: 52,82%
Dados de 27/04/2022 do Operador Nacional do Sistema Elétrico (ONS)",192023929,1519759244907761664,"{'annotations': [{'start': 72, 'end': 74, 'probability': 0.7606, 'type': 'Place', 'normalized_text': 'Rio'}, {'start': 207, 'end': 243, 'probability': 0.3162, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}]}",,pt,
25,Operador Nacional do Sistema Eletrico,1518941379950522370,"Desde então, a bandeira verde foi acionada e esta, segundo o Operador Nacional do Sistema Elétrico (ONS), deve continuar vigente até o final do ano.",569360423,1518941212153159681,"{'annotations': [{'start': 61, 'end': 97, 'probability': 0.7663, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}]}",,pt,[<ReferencedTweet id=1518941212153159681 type=replied_to]
26,Operador Nacional do Sistema Eletrico,1518557961290924035,"O boletim + recente do Operador Nacional do Sistema Elétrico (#ONS) mostra q o subsistema Sudeste/Centro-Oeste alcançará 67,3% da capacidade máxima das usinas até o fim de abril de 2022. É o maior patamar p a região desde junho de 2012, quando o volume hídrico estava em 72,4%.",49222422,1518557961290924035,"{'hashtags': [{'start': 62, 'end': 66, 'tag': 'ONS'}], 'annotations': [{'start': 23, 'end': 59, 'probability': 0.3365, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}]}",,pt,
27,Operador Nacional do Sistema Eletrico,1517992195516739587,"Todos os reservatórios brasileiros devem registrar uma alta no volume hídrico, quando comparado com o mês anterior, até o fim de abril. É o que projeta o boletim mais recente do Operador Nacional do Sistema Elétrico (ONS), divulgado nesta semana #CNNSábadoNoite https://t.co/bv8j3eEI9C",809124436880322561,1517992195516739587,"{'hashtags': [{'start': 246, 'end': 261, 'tag': 'CNNSábadoNoite'}], 'annotations': [{'start': 178, 'end': 214, 'probability': 0.4412, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 262, 'end': 285, 'url': 'https://t.co/bv8j3eEI9C', 'expanded_url': 'https://twitter.com/CNNBrasil/status/1517992195516739587/video/1', 'display_url': 'pic.twitter.com/bv8j3eEI9C', 'media_key': '13_1517992056441999368'}]}",,pt,
28,Operador Nacional do Sistema Eletrico,1517559159629266944,"Na ultima semana o Operador Nacional do Sistema Elétrico (ONS), divulgou que a taxa extra aplicada às conta de luz ficará na bandeira verde até o final de 2022. 

Confira agora como isso beneficia os micro emreendedores. &gt;&gt;

https://t.co/m5l0v63Ck4",626805698,1517559159629266944,"{'annotations': [{'start': 19, 'end': 55, 'probability': 0.2806, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 231, 'end': 254, 'url': 'https://t.co/m5l0v63Ck4', 'expanded_url': 'https://marketup.com/blog/reducao-da-conta-de-luz-para-bandeira-verde-favorece-pequenos-negocios/', 'display_url': 'marketup.com/blog/reducao-d…'}]}",,pt,
29,Operador Nacional do Sistema Eletrico,1516775675755180036,"A informação sobre a permanência da bandeira verde foi divulgada pelo Operador Nacional do Sistema Elétrico (ONS) na semana passada
https://t.co/scLlcT64ID",59308293,1516775675755180036,"{'annotations': [{'start': 70, 'end': 106, 'probability': 0.6746, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 132, 'end': 155, 'url': 'https://t.co/scLlcT64ID', 'expanded_url': 'https://cdlvca.com.br/2022/04/19/reducao-da-taxa-de-energia-vai-favorecer-pequenos-negocios/', 'display_url': 'cdlvca.com.br/2022/04/19/red…'}]}",,pt,
30,Operador Nacional do Sistema Eletrico,1516537605114011648,"Informação sobre a permanência da bandeira verde foi divulgada pelo Operador Nacional do Sistema Elétrico (ONS) na semana passada

https://t.co/dX26QNQQ2A",129927156,1516537605114011648,"{'annotations': [{'start': 68, 'end': 104, 'probability': 0.6924, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/dX26QNQQ2A', 'expanded_url': 'https://www.diariodaregiao.com.br/economia/nacional/reduc-o-da-taxa-de-energia-vai-favorecer-pequenos-negocios-1.961360?rdst_srcid=2566252', 'display_url': 'diariodaregiao.com.br/economia/nacio…'}]}",,pt,
31,Operador Nacional do Sistema Eletrico,1516246655800127490,"A Aneel, determinou a realização de Avaliação Extraordinária dos Sistemas de Proteção da LMTE. Determinou também, que o Operador Nacional do Sistema Elétrico - ONS, realize as ações de supervisão e acompanhamento decorrentes do resultado dessa  avaliação.",41199224,1516246655800127490,"{'annotations': [{'start': 2, 'end': 6, 'probability': 0.5642, 'type': 'Organization', 'normalized_text': 'Aneel'}, {'start': 89, 'end': 92, 'probability': 0.4781, 'type': 'Organization', 'normalized_text': 'LMTE'}]}",,pt,
32,Operador Nacional do Sistema Eletrico,1516157117069082627,O Operador Nacional do Sistema Elétrico (ONS) prevê que o Sistema Interligado Nacional (SIN) chegará ao final do período seco com volume de armazenamento de energia nos reservatórios das hidrelétricas entre 40% e 60%. https://t.co/Cye4a8gKyV,1271455105385148416,1516157117069082627,"{'annotations': [{'start': 2, 'end': 38, 'probability': 0.3694, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 218, 'end': 241, 'url': 'https://t.co/Cye4a8gKyV', 'expanded_url': 'https://bit.ly/3jPK6aN', 'display_url': 'bit.ly/3jPK6aN'}]}",,pt,
33,Operador Nacional do Sistema Eletrico,1516063237422432263,"O Operador Nacional do Sistema Elétrico (ONS) calcula um aumento de 2,5% na carga de energia do Sistema Interligado Nacional (SIN) em abril, na comparação com o mesmo mês do ano passado, o que representa um crescimento na demanda por energia elétrica.

https://t.co/mdjIJBzvBZ https://t.co/iyFWz020Ac",81908585,1516063237422432263,"{'annotations': [{'start': 2, 'end': 38, 'probability': 0.4703, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/mdjIJBzvBZ', 'expanded_url': 'https://bit.ly/393Mbhr', 'display_url': 'bit.ly/393Mbhr'}, {'start': 277, 'end': 300, 'url': 'https://t.co/iyFWz020Ac', 'expanded_url': 'https://twitter.com/primeiro_jornal/status/1516063237422432263/photo/1', 'display_url': 'pic.twitter.com/iyFWz020Ac', 'media_key': '3_1516063235971162113'}]}",,pt,
34,Operador Nacional do Sistema Eletrico,1515413348426436608,"O Operador Nacional do Sistema Elétrico (ONS) estimou que abril fechará com um aumento de 2,5% na carga de energia do Sistema Interligado Nacional (SIN), na comparação com o mesmo período do ano passado
https://t.co/hgyT41f0Zn",1181629051309572096,1515413348426436608,"{'annotations': [{'start': 2, 'end': 38, 'probability': 0.4557, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 203, 'end': 226, 'url': 'https://t.co/hgyT41f0Zn', 'expanded_url': 'https://cnnbr.app/short/c3067035947/', 'display_url': 'cnnbr.app/short/c3067035…'}]}",,pt,
35,Operador Nacional do Sistema Eletrico,1515342975785701385,"A redução estimada pelo governo nas contas de luz para o consumidor é de cerca de 20%. Isso será possível porque, com os reservatórios de quatro das cinco regiões do país mais cheios, é possível, ao operador do sistema elétrico nacional, 
https://t.co/CX052kCJ2r",1457519155104649217,1515342975785701385,"{'urls': [{'start': 239, 'end': 262, 'url': 'https://t.co/CX052kCJ2r', 'expanded_url': 'https://m.facebook.com/story.php?story_fbid=5396817840330904&id=258121894200550&sfnsn=wiwspmo', 'display_url': 'm.facebook.com/story.php?stor…'}]}",,pt,
36,Operador Nacional do Sistema Eletrico,1515137808658321413,"Demanda de energia deve crescer em 2,5% no mês de abril. O Operador Nacional do Sistema Elétrico (ONS) divulgou uma estimativa com o fechamento de abril em alta. O comparativo é o com o mesmo mês de 2021 #JornaldaCNN https://t.co/XdfG7bmh27",1181629051309572096,1515137808658321413,"{'hashtags': [{'start': 204, 'end': 216, 'tag': 'JornaldaCNN'}], 'annotations': [{'start': 59, 'end': 95, 'probability': 0.2558, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/XdfG7bmh27', 'expanded_url': 'https://twitter.com/CNNBrBusiness/status/1515137808658321413/video/1', 'display_url': 'pic.twitter.com/XdfG7bmh27', 'media_key': '13_1515137521491001348'}]}",,pt,
37,Operador Nacional do Sistema Eletrico,1515137785480499202,"Demanda de energia deve crescer em 2,5% no mês de abril. O Operador Nacional do Sistema Elétrico (ONS) divulgou uma estimativa com o fechamento de abril em alta. O comparativo é o com o mesmo mês de 2021 #JornaldaCNN https://t.co/Fltfo5RGgx",809124436880322561,1515137785480499202,"{'hashtags': [{'start': 204, 'end': 216, 'tag': 'JornaldaCNN'}], 'annotations': [{'start': 59, 'end': 95, 'probability': 0.2558, 'type': 'Organization', 'normalized_text': 'Operador Nacional do Sistema Elétrico'}], 'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/Fltfo5RGgx', 'expanded_url': 'https://twitter.com/CNNBrasil/status/1515137785480499202/video/1', 'display_url': 'pic.twitter.com/Fltfo5RGgx', 'media_key': '13_1515137522002706433'}]}",,pt,
